Roll/Date,1,2,3,4,5
11:54 31/07/2018,0,1,0,0,0
12:21 31/07/2018,0,0,0,0,0
12:22 31/07/2018,1,1,0,0,0
12:22 31/07/2018,1,0,0,0,0
13:01 31/07/2018,1,1,0,0,0
